web-scraper-order,web-scraper-start-url,topLevelCategory,topLevelCategory-href,rank,image-src,title,pages,pages-href,url,ratings,price,reviewCount
1615398435-14977,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_nav_0,#54,"https://images-na.ssl-images-amazon.com/images/I/61pJ3ttlsqL._AC_UL200_SR200,200_.jpg",Victure 1080P 4Pcs Indoor Security Camera System Home Monitor with 2.4Ghz Pet/Baby/Nanny…,2,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Victure-Security-Surveillance-Detection-Compatible/dp/B08HR47VM1/ref=zg_bs_electronics_54?_encoding=UTF8&psc=1&refRID=RP43F6J7MXWE8KYRCXKC,4.3 out of 5 stars,$33.99 - $119.99,"12,636"
1615398538-15750,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Appliances,https://www.amazon.com/Best-Sellers-Appliances/zgbs/appliances/ref=zg_bs_nav_0,#61,"https://images-na.ssl-images-amazon.com/images/I/51dCfDLb86L._AC_UL200_SR200,200_.jpg","Panda Portable Compact Laundry Dryer, 3.5 cu.ft, 13lbs Capacity, Black and White, PAN760SF",2,https://www.amazon.com/Best-Sellers-Appliances/zgbs/appliances/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Panda-Compact-Laundry-Downside-PAN760SF/dp/B073BLHCND/ref=zg_bs_appliances_61?_encoding=UTF8&psc=1&refRID=JTJENKE809R85JVRQ8W8,4.6 out of 5 stars,$335.00 - $410.65,"1,152"
1615398538-15788,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Appliances,https://www.amazon.com/Best-Sellers-Appliances/zgbs/appliances/ref=zg_bs_nav_0,#99,"https://images-na.ssl-images-amazon.com/images/I/51xtKMmwOdL._AC_UL200_SR200,200_.jpg","Broan-NuTone 634M Steel Roof Cap for 6"" Round Duct, For Range Hoods, LoSone Fans, and Bath…",2,https://www.amazon.com/Best-Sellers-Appliances/zgbs/appliances/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Broan-NuTone-634M-Roof-Black-Round/dp/B0013G31B0/ref=zg_bs_appliances_99?_encoding=UTF8&psc=1&refRID=JTJENKE809R85JVRQ8W8,4.6 out of 5 stars,$34.00 - $60.38,315
1615398545-15835,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Launchpad,https://www.amazon.com/Best-Sellers-Amazon-Launchpad/zgbs/boost/ref=zg_bs_nav_0,#95,"https://images-na.ssl-images-amazon.com/images/I/81uH1Au5ZyL._AC_UL200_SR200,200_.jpg","Rocketbook Fusion Smart Reusable Notebook - Calendar, To-Do Lists, and Note Template Pages…",2,https://www.amazon.com/Best-Sellers-Amazon-Launchpad/zgbs/boost/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Rocketbook-Fusion-Smart-Reusable-Notebook/dp/B07ZHZC5N2/ref=zg_bs_boost_95?_encoding=UTF8&psc=1&refRID=9VMK1Z9D4VYF0D284K79,4.5 out of 5 stars,$34.85 - $70.99,"25,330"
1615398298-13969,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_nav_0,#64,"https://images-na.ssl-images-amazon.com/images/I/71yQyT9CU6L._AC_UL200_SR200,200_.jpg","Little Tikes Easy Score Basketball Set, Blue, 3 Balls - Amazon Exclusive",2,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Little-Tikes-EasyScore-Basketball-Exclusive/dp/B01C5A2WJO/ref=zg_bs_toys-and-games_64?_encoding=UTF8&psc=1&refRID=RB1RGF2YF4RRDM075R5D,4.8 out of 5 stars,$34.99 - $99.99,"22,791"
1615398305-14054,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Tools & Home Improvement,https://www.amazon.com/Best-Sellers-Home-Improvement/zgbs/hi/ref=zg_bs_nav_0,#98,"https://images-na.ssl-images-amazon.com/images/I/71yD4RSesbL._AC_UL200_SR200,200_.jpg",LUXE Bidet Neo 120 - Self Cleaning Nozzle - Fresh Water Non-Electric Mechanical Bidet Toilet…,2,https://www.amazon.com/Best-Sellers-Home-Improvement/zgbs/hi/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Luxe-Bidet-Neo-120-Non-Electric/dp/B00A0RHSJO/ref=zg_bs_hi_98?_encoding=UTF8&psc=1&refRID=TKSKV30H98R6PGTZBXJ5,4.6 out of 5 stars,$36.27 - $58.92,"29,817"
1615398352-14392,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Musical Instruments,https://www.amazon.com/Best-Sellers-Musical-Instruments/zgbs/musical-instruments/ref=zg_bs_nav_0,#79,"https://images-na.ssl-images-amazon.com/images/I/714Q43U7pxL._AC_UL200_SR200,200_.jpg","Microphone Arm Stand, TONOR Adjustable Suspension Boom Scissor Mic Stand with Pop…",2,https://www.amazon.com/Best-Sellers-Musical-Instruments/zgbs/musical-instruments/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Microphone-TONOR-Adjustable-Suspension-T20/dp/B082W4B7SX/ref=zg_bs_musical-instruments_79?_encoding=UTF8&psc=1&refRID=5A761TFMFTBZH5N5DGT7,4.6 out of 5 stars,$36.99 - $41.99,"6,966"
1615398352-14399,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Musical Instruments,https://www.amazon.com/Best-Sellers-Musical-Instruments/zgbs/musical-instruments/ref=zg_bs_nav_0,#86,"https://images-na.ssl-images-amazon.com/images/I/714bX%2Bm8krL._AC_UL200_SR200,200_.jpg",RockJam Adjustable Keyboard Stand with Locking Straps & Quick Release Mechanism,2,https://www.amazon.com/Best-Sellers-Musical-Instruments/zgbs/musical-instruments/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/RockJam-RJX29-Portable-Keyboard/dp/B00I9BXYZA/ref=zg_bs_musical-instruments_86?_encoding=UTF8&psc=1&refRID=5A761TFMFTBZH5N5DGT7,4.7 out of 5 stars,$37.79 - $107.35,"17,624"
1615398401-14757,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Health & Household,https://www.amazon.com/Best-Sellers-Health-Personal-Care/zgbs/hpc/ref=zg_bs_nav_0,#88,"https://images-na.ssl-images-amazon.com/images/I/718t-mVpwoL._AC_UL200_SR200,200_.jpg",Water Flosser Professional Cordless Dental Oral Irrigator - 300ML Portable and Rechargeable…,2,https://www.amazon.com/Best-Sellers-Health-Personal-Care/zgbs/hpc/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Flosser-Professional-Cordless-Dental-Irrigator/dp/B07FR3LRNC/ref=zg_bs_hpc_88?_encoding=UTF8&psc=1&refRID=JKWMK2ZCAJS6YJRFGVMV,4.4 out of 5 stars,$37.99 - $39.99,"39,895"
1615398373-14533,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Kitchen & Dining,https://www.amazon.com/Best-Sellers-Kitchen-Dining/zgbs/kitchen/ref=zg_bs_nav_0,#67,"https://images-na.ssl-images-amazon.com/images/I/81IK%2B6UGC1L._AC_UL200_SR200,200_.jpg","Sky Solutions Anti Fatigue Mat - Cushioned Comfort Floor Mats for Kitchen, Office & Garage…",2,https://www.amazon.com/Best-Sellers-Kitchen-Dining/zgbs/kitchen/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Sky-Comfort-Fatigue-Kitchens-Standing/dp/B01HFKUJEY/ref=zg_bs_kitchen_67?_encoding=UTF8&psc=1&refRID=N5N51N73JG9HM9H57RQP,4.7 out of 5 stars,$37.99 - $99.97,"20,460"
1615398387-14647,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_nav_0,#80,"https://images-na.ssl-images-amazon.com/images/I/71aliOn9h8L._AC_UL200_SR200,200_.jpg","O-Cedar EasyWring Microfiber Spin Mop & Bucket Floor Cleaning System + 2 Extra Refills, Red/Gray",2,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Cedar-Easywring-Microfiber-Cleaning-Refills/dp/B07VWL357N/ref=zg_bs_industrial_80?_encoding=UTF8&psc=1&refRID=V98CPCQDZJMMRMV6KP0A,4.7 out of 5 stars,$38.99 - $61.11,"24,148"
1615398305-14050,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Tools & Home Improvement,https://www.amazon.com/Best-Sellers-Home-Improvement/zgbs/hi/ref=zg_bs_nav_0,#94,"https://images-na.ssl-images-amazon.com/images/I/81v8opf%2BCEL._AC_UL200_SR200,200_.jpg","Aprilaire - 210 A1 210 Replacement Air Filter for Whole Home Air Purifiers, Clean Air Dust Filter,…",2,https://www.amazon.com/Best-Sellers-Home-Improvement/zgbs/hi/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Aprilaire-210-Filter-Whole-Purifiers/dp/B005AIN8YW/ref=zg_bs_hi_94?_encoding=UTF8&psc=1&refRID=TKSKV30H98R6PGTZBXJ5,4.8 out of 5 stars,$39.80 - $304.95,"13,635"
1615398506-15502,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Baby,https://www.amazon.com/Best-Sellers-Baby/zgbs/baby-products/ref=zg_bs_nav_0,#68,"https://images-na.ssl-images-amazon.com/images/I/71UvyDM8XgL._AC_UL200_SR200,200_.jpg",Fisher-Price Deluxe Kick & Play Piano Gym & Maracas,2,https://www.amazon.com/Best-Sellers-Baby/zgbs/baby-products/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Fisher-Price-Deluxe-Maracas-Bundle-Exclusive/dp/B0793D9WBY/ref=zg_bs_baby-products_68?_encoding=UTF8&psc=1&refRID=GH1T2XNEV04QX39FED35,4.8 out of 5 stars,$39.88 - $95.98,"22,147"
1615398394-14691,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#73,"https://images-na.ssl-images-amazon.com/images/I/61YjmJbJ3PL._AC_UL200_SR200,200_.jpg",EASELAND Twin Size Mattress Pad Pillow Top Mattress Cover Quilted Fitted Mattress Protector…,2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/EASELAND-Mattress-Mattress-Stretches-Alternative/dp/B073ZVYFP9/ref=zg_bs_home-garden_73?_encoding=UTF8&psc=1&refRID=9JMBGWFH2SX6KJ3MZ4ZC,4.5 out of 5 stars,$39.90 - $109.90,"21,246"
